model,pooling,dataset_size,C,auc,test_pos,test_neg,embedding_dim,runtime_sec
siglip-so400m,patch_mean,50,0.01,0.831111,15,15,1152,0.05
siglip-so400m,patch_mean,50,0.1,0.857778,15,15,1152,0.05
siglip-so400m,patch_mean,50,1.0,0.853333,15,15,1152,0.05
siglip-so400m,patch_mean,50,10.0,0.848889,15,15,1152,0.05
siglip-so400m,patch_mean,100,0.01,0.852222,30,30,1152,0.08
siglip-so400m,patch_mean,100,0.1,0.841111,30,30,1152,0.08
siglip-so400m,patch_mean,100,1.0,0.833333,30,30,1152,0.08
siglip-so400m,patch_mean,100,10.0,0.835556,30,30,1152,0.08
siglip-so400m,patch_mean,250,0.01,0.872333,74,76,1152,0.12
siglip-so400m,patch_mean,250,0.1,0.859353,74,76,1152,0.12
siglip-so400m,patch_mean,250,1.0,0.846195,74,76,1152,0.12
siglip-so400m,patch_mean,250,10.0,0.846195,74,76,1152,0.12
siglip-so400m,patch_max,50,0.01,0.84,15,15,1152,0.04
siglip-so400m,patch_max,50,0.1,0.835556,15,15,1152,0.04
siglip-so400m,patch_max,50,1.0,0.84,15,15,1152,0.04
siglip-so400m,patch_max,50,10.0,0.844444,15,15,1152,0.04
siglip-so400m,patch_max,100,0.01,0.834444,30,30,1152,0.07
siglip-so400m,patch_max,100,0.1,0.814444,30,30,1152,0.07
siglip-so400m,patch_max,100,1.0,0.806667,30,30,1152,0.07
siglip-so400m,patch_max,100,10.0,0.812222,30,30,1152,0.07
siglip-so400m,patch_max,250,0.01,0.821657,74,76,1152,0.1
siglip-so400m,patch_max,250,0.1,0.816323,74,76,1152,0.1
siglip-so400m,patch_max,250,1.0,0.812767,74,76,1152,0.1
siglip-so400m,patch_max,250,10.0,0.822724,74,76,1152,0.1
siglip-so400m,patch_gem,50,0.01,0.808889,15,15,1152,0.04
siglip-so400m,patch_gem,50,0.1,0.817778,15,15,1152,0.04
siglip-so400m,patch_gem,50,1.0,0.826667,15,15,1152,0.04
