model,pooling,dataset_size,k,auc,test_pos,test_neg,embedding_dim,runtime_sec
dinov3-vitl16,patch_max,50,11,0.755556,15,15,1024,0.11
dinov3-vitl16,patch_max,100,1,0.833333,30,30,1024,0.21
dinov3-vitl16,patch_max,100,5,0.892778,30,30,1024,0.21
dinov3-vitl16,patch_max,100,11,0.901111,30,30,1024,0.21
dinov3-vitl16,patch_max,250,1,0.832326,74,76,1024,0.32
dinov3-vitl16,patch_max,250,5,0.889136,74,76,1024,0.32
dinov3-vitl16,patch_max,250,11,0.908695,74,76,1024,0.32
dinov3-vitl16,patch_gem,50,1,0.766667,15,15,1024,0.1
dinov3-vitl16,patch_gem,50,5,0.844444,15,15,1024,0.1
dinov3-vitl16,patch_gem,50,11,0.88,15,15,1024,0.1
dinov3-vitl16,patch_gem,100,1,0.833333,30,30,1024,0.19
dinov3-vitl16,patch_gem,100,5,0.925,30,30,1024,0.19
dinov3-vitl16,patch_gem,100,11,0.911111,30,30,1024,0.19
dinov3-vitl16,patch_gem,250,1,0.852774,74,76,1024,0.3
dinov3-vitl16,patch_gem,250,5,0.89936,74,76,1024,0.3
dinov3-vitl16,patch_gem,250,11,0.911451,74,76,1024,0.3
dinov3-vitl16,cls_patch,50,1,0.766667,15,15,2048,0.11
dinov3-vitl16,cls_patch,50,5,0.884444,15,15,2048,0.11
dinov3-vitl16,cls_patch,50,11,0.853333,15,15,2048,0.11
dinov3-vitl16,cls_patch,100,1,0.866667,30,30,2048,0.21
dinov3-vitl16,cls_patch,100,5,0.931111,30,30,2048,0.21
dinov3-vitl16,cls_patch,100,11,0.916667,30,30,2048,0.21
dinov3-vitl16,cls_patch,250,1,0.819523,74,76,2048,0.34
dinov3-vitl16,cls_patch,250,5,0.898382,74,76,2048,0.34
dinov3-vitl16,cls_patch,250,11,0.91963,74,76,2048,0.34
dinov3-vitl16,multicrop,50,1,0.666667,15,15,1024,0.11
dinov3-vitl16,multicrop,50,5,0.791111,15,15,1024,0.11
dinov3-vitl16,multicrop,50,11,0.924444,15,15,1024,0.11
dinov3-vitl16,multicrop,100,1,0.833333,30,30,1024,0.2
dinov3-vitl16,multicrop,100,5,0.922222,30,30,1024,0.2
dinov3-vitl16,multicrop,100,11,0.873333,30,30,1024,0.2
dinov3-vitl16,multicrop,250,1,0.766714,74,76,1024,0.31
dinov3-vitl16,multicrop,250,5,0.873933,74,76,1024,0.31
dinov3-vitl16,multicrop,250,11,0.909317,74,76,1024,0.31
siglip-so400m,cls,50,1,0.566667,15,15,1152,0.12
siglip-so400m,cls,50,5,0.613333,15,15,1152,0.12
siglip-so400m,cls,50,11,0.773333,15,15,1152,0.12
siglip-so400m,cls,100,1,0.616667,30,30,1152,0.21
siglip-so400m,cls,100,5,0.726111,30,30,1152,0.21
siglip-so400m,cls,100,11,0.678889,30,30,1152,0.21
siglip-so400m,cls,250,1,0.646515,74,76,1152,0.32
siglip-so400m,cls,250,5,0.668385,74,76,1152,0.32
siglip-so400m,cls,250,11,0.645448,74,76,1152,0.32
siglip-so400m,patch_mean,50,1,0.8,15,15,1152,0.11
siglip-so400m,patch_mean,50,5,0.8,15,15,1152,0.11
siglip-so400m,patch_mean,50,11,0.764444,15,15,1152,0.11
siglip-so400m,patch_mean,100,1,0.783333,30,30,1152,0.2
siglip-so400m,patch_mean,100,5,0.887222,30,30,1152,0.2
siglip-so400m,patch_mean,100,11,0.832222,30,30,1152,0.2
siglip-so400m,patch_mean,250,1,0.766358,74,76,1152,0.33
siglip-so400m,patch_mean,250,5,0.816856,74,76,1152,0.33
siglip-so400m,patch_mean,250,11,0.823257,74,76,1152,0.33
siglip-so400m,patch_max,50,1,0.766667,15,15,1152,0.11
siglip-so400m,patch_max,50,5,0.728889,15,15,1152,0.11
siglip-so400m,patch_max,50,11,0.728889,15,15,1152,0.11
siglip-so400m,patch_max,100,1,0.683333,30,30,1152,0.2
siglip-so400m,patch_max,100,5,0.83,30,30,1152,0.2
siglip-so400m,patch_max,100,11,0.754444,30,30,1152,0.2
siglip-so400m,patch_max,250,1,0.739331,74,76,1152,0.32
siglip-so400m,patch_max,250,5,0.84175,74,76,1152,0.32
siglip-so400m,patch_max,250,11,0.822902,74,76,1152,0.32
siglip-so400m,patch_gem,50,1,0.733333,15,15,1152,0.11
siglip-so400m,patch_gem,50,5,0.786667,15,15,1152,0.11
siglip-so400m,patch_gem,50,11,0.746667,15,15,1152,0.11
siglip-so400m,patch_gem,100,1,0.716667,30,30,1152,0.2
siglip-so400m,patch_gem,100,5,0.885,30,30,1152,0.2
siglip-so400m,patch_gem,100,11,0.832222,30,30,1152,0.2
siglip-so400m,patch_gem,250,1,0.806543,74,76,1152,0.3
siglip-so400m,patch_gem,250,5,0.857752,74,76,1152,0.3
siglip-so400m,patch_gem,250,11,0.826458,74,76,1152,0.3
siglip-so400m,cls_patch,50,1,0.666667,15,15,2304,0.12
siglip-so400m,cls_patch,50,5,0.755556,15,15,2304,0.12
siglip-so400m,cls_patch,50,11,0.786667,15,15,2304,0.12
siglip-so400m,cls_patch,100,1,0.783333,30,30,2304,0.23
siglip-so400m,cls_patch,100,5,0.825556,30,30,2304,0.23
siglip-so400m,cls_patch,100,11,0.812222,30,30,2304,0.23
siglip-so400m,cls_patch,250,1,0.766181,74,76,2304,0.36
siglip-so400m,cls_patch,250,5,0.822635,74,76,2304,0.36
siglip-so400m,cls_patch,250,11,0.835437,74,76,2304,0.36
siglip-so400m,multicrop,50,1,0.633333,15,15,1152,0.11
siglip-so400m,multicrop,50,5,0.808889,15,15,1152,0.11
siglip-so400m,multicrop,50,11,0.862222,15,15,1152,0.11
siglip-so400m,multicrop,100,1,0.716667,30,30,1152,0.21
siglip-so400m,multicrop,100,5,0.815,30,30,1152,0.21
siglip-so400m,multicrop,100,11,0.772222,30,30,1152,0.21
siglip-so400m,multicrop,250,1,0.725818,74,76,1152,0.33
siglip-so400m,multicrop,250,5,0.804499,74,76,1152,0.33
siglip-so400m,multicrop,250,11,0.780761,74,76,1152,0.33
clip-vitl14,cls,50,1,0.866667,15,15,1024,0.11
clip-vitl14,cls,50,5,0.864444,15,15,1024,0.11
clip-vitl14,cls,50,11,0.906667,15,15,1024,0.11
clip-vitl14,cls,100,1,0.833333,30,30,1024,0.2
clip-vitl14,cls,100,5,0.943889,30,30,1024,0.2
clip-vitl14,cls,100,11,0.93,30,30,1024,0.2
clip-vitl14,cls,250,1,0.872511,74,76,1024,0.32
clip-vitl14,cls,250,5,0.947546,74,76,1024,0.32
clip-vitl14,cls,250,11,0.950391,74,76,1024,0.32
clip-vitl14,patch_mean,50,1,0.766667,15,15,1024,0.11
clip-vitl14,patch_mean,50,5,0.88,15,15,1024,0.11
clip-vitl14,patch_mean,50,11,0.853333,15,15,1024,0.11
clip-vitl14,patch_mean,100,1,0.833333,30,30,1024,0.19
clip-vitl14,patch_mean,100,5,0.873889,30,30,1024,0.19
clip-vitl14,patch_mean,100,11,0.853333,30,30,1024,0.19
clip-vitl14,patch_mean,250,1,0.852596,74,76,1024,0.28
clip-vitl14,patch_mean,250,5,0.940878,74,76,1024,0.28
clip-vitl14,patch_mean,250,11,0.947013,74,76,1024,0.28
clip-vitl14,patch_max,50,1,0.7,15,15,1024,0.14
clip-vitl14,patch_max,50,5,0.791111,15,15,1024,0.14
clip-vitl14,patch_max,50,11,0.857778,15,15,1024,0.14
clip-vitl14,patch_max,100,1,0.766667,30,30,1024,0.22
clip-vitl14,patch_max,100,5,0.836667,30,30,1024,0.22
clip-vitl14,patch_max,100,11,0.838889,30,30,1024,0.22
clip-vitl14,patch_max,250,1,0.825925,74,76,1024,0.34
clip-vitl14,patch_max,250,5,0.929854,74,76,1024,0.34
clip-vitl14,patch_max,250,11,0.914651,74,76,1024,0.34
clip-vitl14,patch_gem,50,1,0.833333,15,15,1024,0.1
clip-vitl14,patch_gem,50,5,0.906667,15,15,1024,0.1
clip-vitl14,patch_gem,50,11,0.831111,15,15,1024,0.1
clip-vitl14,patch_gem,100,1,0.816667,30,30,1024,0.19
clip-vitl14,patch_gem,100,5,0.911111,30,30,1024,0.19
clip-vitl14,patch_gem,100,11,0.845,30,30,1024,0.19
clip-vitl14,patch_gem,250,1,0.859175,74,76,1024,0.31
clip-vitl14,patch_gem,250,5,0.940167,74,76,1024,0.31
clip-vitl14,patch_gem,250,11,0.940967,74,76,1024,0.31
clip-vitl14,cls_patch,50,1,0.866667,15,15,2048,0.11
clip-vitl14,cls_patch,50,5,0.915556,15,15,2048,0.12
clip-vitl14,cls_patch,50,11,0.911111,15,15,2048,0.12
clip-vitl14,cls_patch,100,1,0.833333,30,30,2048,0.23
clip-vitl14,cls_patch,100,5,0.898889,30,30,2048,0.23
clip-vitl14,cls_patch,100,11,0.85,30,30,2048,0.23
clip-vitl14,cls_patch,250,1,0.89936,74,76,2048,0.36
clip-vitl14,cls_patch,250,5,0.95617,74,76,2048,0.36
clip-vitl14,cls_patch,250,11,0.945146,74,76,2048,0.36
clip-vitl14,multicrop,50,1,0.833333,15,15,1024,0.11
clip-vitl14,multicrop,50,5,0.891111,15,15,1024,0.11
clip-vitl14,multicrop,50,11,0.893333,15,15,1024,0.11
clip-vitl14,multicrop,100,1,0.833333,30,30,1024,0.19
clip-vitl14,multicrop,100,5,0.892222,30,30,1024,0.19
clip-vitl14,multicrop,100,11,0.916667,30,30,1024,0.19
clip-vitl14,multicrop,250,1,0.879445,74,76,1024,0.28
clip-vitl14,multicrop,250,5,0.946302,74,76,1024,0.28
clip-vitl14,multicrop,250,11,0.945946,74,76,1024,0.28
